Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
03-Aug-2012,17:33,18:28,"Morden to Caledonian Road",3.60,,7.35,""
03-Aug-2012,08:02,08:55,"Caledonian Road to Morden",3.60,,10.95,""
02-Aug-2012,17:41,18:39,"Morden to Caledonian Road",3.60,,14.55,""
02-Aug-2012,08:02,09:01,"Caledonian Road to Morden",3.60,,18.15,""
01-Aug-2012,17:24,18:16,"Morden to Caledonian Road",3.60,,21.75,""
01-Aug-2012,08:00,08:50,"Caledonian Road to Morden",3.60,,25.35,""
31-Jul-2012,17:28,18:22,"Morden to Caledonian Road",3.60,,28.95,""
31-Jul-2012,07:59,08:50,"Caledonian Road to Morden",3.60,,32.55,""
30-Jul-2012,17:43,18:32,"Morden to Caledonian Road",3.60,,36.15,""
30-Jul-2012,08:02,08:53,"Caledonian Road to Morden",3.60,,39.75,""
29-Jul-2012,10:43,,"Topped up,  ",,40.00,43.35,""
20-Jul-2012,12:02,12:24,"Arnos Grove to Caledonian Road",1.40,,3.35,""
20-Jul-2012,11:52,,"Bus journey, route 232",1.35,,4.75,""
20-Jul-2012,10:42,,"Bus journey, route 263",1.35,,6.10,""
20-Jul-2012,10:28,,"Topped up, Archway",,5.00,7.45,""
20-Jul-2012,10:10,,"Bus journey, route 17",1.35,,2.45,""
19-Jul-2012,10:59,,"Bus journey, route 274",1.35,,3.80,""
17-Jul-2012,11:48,,"Bus journey, route 91",1.35,,5.15,""
17-Jul-2012,11:00,,"Topped up,  ",,5.00,6.50,""
17-Jul-2012,10:41,,"Bus journey, route 17",1.35,,1.50,""
09-Jul-2012,12:50,,"Bus journey, route 274",1.35,,2.85,""
05-Jul-2012,14:32,15:24,"Morden to Caledonian Road",2.60,,4.20,""
05-Jul-2012,13:13,,"Topped up, Morden",,5.00,6.80,""
05-Jul-2012,12:19,13:13,"Caledonian Road to Morden",2.60,,1.80,""
03-Jul-2012,11:10,,"Bus journey, route 17",1.35,,4.40,""
03-Jul-2012,10:06,,"Topped up, Archway",,5.00,5.75,""
03-Jul-2012,09:50,,"Bus journey, route 17",1.35,,0.75,""
23-Jun-2012,11:28,,"Bus journey, route 153",1.35,,2.10,""
23-Jun-2012,11:08,,"Bus journey, route 91",1.35,,3.45,""
20-Jun-2012,13:47,,"Bus journey, route 17",0.15,,4.80,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
20-Jun-2012,13:02,,"Bus journey, route 263",1.35,,4.95,""
20-Jun-2012,11:02,,"Bus journey, route 263",1.35,,6.30,""
20-Jun-2012,10:54,,"Bus journey, route 17",1.35,,7.65,""
19-Jun-2012,10:59,,"Bus journey, route 91",1.35,,9.00,""
19-Jun-2012,10:15,,"Topped up,  ",,5.00,10.35,""
19-Jun-2012,09:55,,"Bus journey, route 17",1.35,,5.35,""
