Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
23-Aug-2012,17:21,18:14,"Morden to Caledonian Road",3.60,,4.85,""
23-Aug-2012,08:01,08:53,"Caledonian Road to Morden",3.60,,8.45,""
23-Aug-2012,08:01,,"Season ticket added on touch in, Caledonian Road",.00,, ,""
22-Aug-2012,17:33,18:26,"Morden to Caledonian Road",3.60,,12.05,""
22-Aug-2012,08:04,08:56,"Caledonian Road to Morden",3.60,,15.65,""
21-Aug-2012,16:59,17:50,"Morden to Caledonian Road",3.60,,19.25,""
21-Aug-2012,07:59,08:49,"Caledonian Road to Morden",3.60,,22.85,""
20-Aug-2012,17:29,18:26,"Morden to Caledonian Road",3.60,,26.45,""
20-Aug-2012,13:37,,"Topped up, Morden",,30.00,30.05,""
20-Aug-2012,07:59,08:50,"Caledonian Road to Morden",3.60,,0.05,""
17-Aug-2012,17:42,18:34,"Morden to Caledonian Road",3.60,,3.65,""
17-Aug-2012,08:01,08:55,"Caledonian Road to Morden",3.60,,7.25,""
16-Aug-2012,17:15,18:03,"Morden to Caledonian Road",3.60,,10.85,""
16-Aug-2012,08:01,08:52,"Caledonian Road to Morden",3.60,,14.45,""
15-Aug-2012,17:18,18:08,"Morden to Caledonian Road",3.60,,18.05,""
15-Aug-2012,08:03,08:58,"Caledonian Road to Morden",3.60,,21.65,""
14-Aug-2012,17:23,18:13,"Morden to Caledonian Road",3.60,,25.25,""
14-Aug-2012,08:01,08:57,"Caledonian Road to Morden",3.60,,28.85,""
13-Aug-2012,17:29,18:25,"Morden to Caledonian Road",3.60,,32.45,""
13-Aug-2012,07:58,08:51,"Caledonian Road to Morden",3.60,,36.05,""
10-Aug-2012,18:46,19:00,"Covent Garden to Caledonian Road",2.70,,39.65,""
10-Aug-2012,18:45,,"Topped up, Covent Garden",,40.00,42.35,""
10-Aug-2012,17:37,18:21,"Morden to Covent Garden",2.60,,2.35,""
10-Aug-2012,08:00,08:56,"Caledonian Road to Morden",3.60,,4.95,""
09-Aug-2012,17:38,18:29,"Morden to Caledonian Road",3.60,,8.55,""
09-Aug-2012,08:05,09:01,"Caledonian Road to Morden",3.60,,12.15,""
08-Aug-2012,17:21,18:15,"Morden to Caledonian Road",3.60,,15.75,""
08-Aug-2012,07:59,08:53,"Caledonian Road to Morden",3.60,,19.35,""
07-Aug-2012,17:27,18:18,"Morden to Caledonian Road",3.60,,22.95,""
07-Aug-2012,07:59,08:53,"Caledonian Road to Morden",3.60,,26.55,""
06-Aug-2012,17:31,18:33,"Morden to Caledonian Road",3.60,,30.15,""
06-Aug-2012,08:00,08:51,"Caledonian Road to Morden",3.60,,33.75,""
04-Aug-2012,11:48,,"Topped up, Caledonian Road",,30.00,37.35,""
03-Aug-2012,17:33,18:28,"Morden to Caledonian Road",3.60,,7.35,""
03-Aug-2012,08:02,08:55,"Caledonian Road to Morden",3.60,,10.95,""
02-Aug-2012,17:41,18:39,"Morden to Caledonian Road",3.60,,14.55,""
02-Aug-2012,08:02,09:01,"Caledonian Road to Morden",3.60,,18.15,""
01-Aug-2012,17:24,18:16,"Morden to Caledonian Road",3.60,,21.75,""
01-Aug-2012,08:00,08:50,"Caledonian Road to Morden",3.60,,25.35,""
31-Jul-2012,17:28,18:22,"Morden to Caledonian Road",3.60,,28.95,""
31-Jul-2012,07:59,08:50,"Caledonian Road to Morden",3.60,,32.55,""
30-Jul-2012,17:43,18:32,"Morden to Caledonian Road",3.60,,36.15,""
30-Jul-2012,08:02,08:53,"Caledonian Road to Morden",3.60,,39.75,""
29-Jul-2012,10:43,,"Topped up,  ",,40.00,43.35,""
20-Jul-2012,12:02,12:24,"Arnos Grove to Caledonian Road",1.40,,3.35,""
20-Jul-2012,11:52,,"Bus journey, route 232",1.35,,4.75,""
20-Jul-2012,10:42,,"Bus journey, route 263",1.35,,6.10,""
20-Jul-2012,10:28,,"Topped up, Archway",,5.00,7.45,""
20-Jul-2012,10:10,,"Bus journey, route 17",1.35,,2.45,""
19-Jul-2012,10:59,,"Bus journey, route 274",1.35,,3.80,""
17-Jul-2012,11:48,,"Bus journey, route 91",1.35,,5.15,""
17-Jul-2012,11:00,,"Topped up,  ",,5.00,6.50,""
17-Jul-2012,10:41,,"Bus journey, route 17",1.35,,1.50,""
09-Jul-2012,12:50,,"Bus journey, route 274",1.35,,2.85,""
05-Jul-2012,14:32,15:24,"Morden to Caledonian Road",2.60,,4.20,""
05-Jul-2012,13:13,,"Topped up, Morden",,5.00,6.80,""
05-Jul-2012,12:19,13:13,"Caledonian Road to Morden",2.60,,1.80,""
03-Jul-2012,11:10,,"Bus journey, route 17",1.35,,4.40,""
03-Jul-2012,10:06,,"Topped up, Archway",,5.00,5.75,""
03-Jul-2012,09:50,,"Bus journey, route 17",1.35,,0.75,""
